LoginID,Associate Name,Function,Unit Class,Process,Event Time,ASIN,Reference,Size,Unit Type,Pack Flow,Pick Process Path,Units
jdoe001,John Doe,Pick,Standard,Outbound,2024-06-01 07:44:52,B001,REF001,M,Each,FlowA,Path1,1
jdoe001,John Doe,Pick,Standard,Outbound,2024-06-01 07:44:54,B002,REF002,M,Each,FlowA,Path1,1
jdoe001,John Doe,Pick,Standard,Outbound,2024-06-01 07:44:56,B003,REF003,M,Each,FlowA,Path1,1
jdoe001,John Doe,Pick,Standard,Outbound,2024-06-01 08:15:00,B004,REF004,M,Each,FlowA,Path1,1
jdoe001,John Doe,Pick,Standard,Outbound,2024-06-01 08:15:02,B005,REF005,M,Each,FlowA,Path1,1
jsmith002,Jane Smith,Pack,Standard,Outbound,2024-06-01 08:00:00,B006,REF006,L,Each,FlowB,Path2,2
jsmith002,Jane Smith,Pack,Standard,Outbound,2024-06-01 08:00:05,B007,REF007,L,Each,FlowB,Path2,1
jsmith002,Jane Smith,Pack,Standard,Outbound,2024-06-01 08:25:00,B008,REF008,L,Each,FlowB,Path2,1
jsmith002,Jane Smith,Pack,Standard,Outbound,2024-06-01 08:25:03,B009,REF009,L,Each,FlowB,Path2,1
mbrown003,Mike Brown,Pick,Standard,Outbound,2024-06-01 09:00:00,B010,REF010,S,Each,FlowA,Path1,1
mbrown003,Mike Brown,Pick,Standard,Outbound,2024-06-01 09:00:10,B011,REF011,S,Each,FlowA,Path1,1
mbrown003,Mike Brown,Pick,Standard,Outbound,2024-06-01 09:00:20,B012,REF012,S,Each,FlowA,Path1,1
